"Resource","Time In Resource","Latest Score","Highest Score","Lowest Score","Average Score","Points Possible","Attempts"
"8.1.9 Create a Starter GPO","17 minutes 20 seconds","5 (6/6/24, 3:13 PM)","5 (6/6/24, 3:13 PM)","0 (6/6/24, 12:44 PM)","2.5","5","2"
"8.1.13 Practice Questions","6 minutes 5 seconds","10 (6/6/24, 3:19 PM)","10 (6/6/24, 3:19 PM)","10 (6/6/24, 3:19 PM)","10","10","1"
"8.2.5 Practice Questions","9 minutes 1 second","10 (6/6/24, 3:29 PM)","10 (6/6/24, 3:29 PM)","10 (6/6/24, 3:29 PM)","10","10","1"
"8.3.4 Configure and Manage AD DS Passwords","3 minutes 27 seconds","2 (6/6/24, 3:33 PM)","2 (6/6/24, 3:33 PM)","2 (6/6/24, 3:33 PM)","2","2","1"
"8.3.5 Practice Questions","4 minutes 8 seconds","10 (6/6/24, 3:39 PM)","10 (6/6/24, 3:39 PM)","9 (6/6/24, 3:36 PM)","9.5","10","2"
"8.4.4 Configure Audit Policies","6 minutes 22 seconds","9 (6/6/24, 3:46 PM)","9 (6/6/24, 3:46 PM)","0 (6/6/24, 3:39 PM)","4.5","9","2"
"8.4.5 Practice Questions","15 minutes 41 seconds","10 (6/6/24, 4:03 PM)","10 (6/6/24, 4:03 PM)","9 (6/6/24, 3:59 PM)","9.5","10","2"
"8.5.4 Configure User Rights","4 minutes 48 seconds","5 (6/6/24, 4:08 PM)","5 (6/6/24, 4:08 PM)","0 (6/6/24, 4:05 PM)","2.5","5","2"
"8.5.5 Practice Questions","2 minutes 10 seconds","10 (6/6/24, 4:11 PM)","10 (6/6/24, 4:11 PM)","10 (6/6/24, 4:11 PM)","10","10","1"
"8.6.3 Configure Security Options","16 minutes 50 seconds","3 (6/6/24, 4:28 PM)","3 (6/6/24, 4:28 PM)","3 (6/6/24, 4:28 PM)","3","3","1"
"8.6.8 Enforce User Account Control","4 minutes 5 seconds","10 (6/6/24, 4:50 PM)","10 (6/6/24, 4:50 PM)","10 (6/6/24, 4:50 PM)","10","10","1"
"8.6.9 Practice Questions","8 minutes 15 seconds","10 (6/6/24, 6:08 PM)","10 (6/6/24, 6:08 PM)","10 (6/6/24, 6:08 PM)","10","10","1"
"8.7.4 Configure Restricted Groups","4 minutes 31 seconds","2 (6/6/24, 6:25 PM)","2 (6/6/24, 6:25 PM)","1 (6/6/24, 6:12 PM)","1.5","2","2"
"8.7.5 Practice Questions","4 minutes 28 seconds","10 (6/6/24, 6:30 PM)","10 (6/6/24, 6:30 PM)","10 (6/6/24, 6:30 PM)","10","10","1"
"8.8.4 Configure AppLocker","4 minutes 3 seconds","4 (6/6/24, 6:36 PM)","4 (6/6/24, 6:36 PM)","0 (6/6/24, 6:32 PM)","2","4","2"
"8.8.5 Practice Questions","2 minutes 26 seconds","10 (6/6/24, 6:39 PM)","10 (6/6/24, 6:39 PM)","10 (6/6/24, 6:39 PM)","10","10","1"
"8.9.4 Configure Power Options in a GPO","3 minutes 7 seconds","4 (6/6/24, 6:43 PM)","4 (6/6/24, 6:43 PM)","0 (6/6/24, 6:40 PM)","2","4","2"
"8.9.5 Deploy Desktop Shortcuts in a GPO","3 minutes 30 seconds","1 (6/6/24, 6:47 PM)","1 (6/6/24, 6:47 PM)","0 (6/6/24, 6:44 PM)","0.5","1","2"
"8.9.6 Practice Questions","3 minutes 10 seconds","10 (6/6/24, 6:51 PM)","10 (6/6/24, 6:51 PM)","10 (6/6/24, 6:51 PM)","10","10","1"
"9.1.5 Practice Questions","6 minutes 10 seconds","9 (6/6/24, 6:58 PM)","9 (6/6/24, 6:58 PM)","9 (6/6/24, 6:58 PM)","9","9","1"
"9.2.4 Configure PowerShell Remoting","4 minutes 37 seconds","7 (6/6/24, 7:04 PM)","7 (6/6/24, 7:04 PM)","1 (6/6/24, 6:59 PM)","4","7","2"
"9.2.9 Practice Questions","2 minutes 43 seconds","10 (6/6/24, 9:09 PM)","10 (6/6/24, 9:09 PM)","10 (6/6/24, 9:09 PM)","10","10","1"
"9.3.5 Manage Windows Servers by Using Azure Arc","3 minutes 2 seconds","4 (6/6/24, 9:13 PM)","4 (6/6/24, 9:13 PM)","0 (6/6/24, 9:10 PM)","2","4","2"
"9.3.6 Practice Questions","3 minutes 26 seconds","10 (6/6/24, 9:18 PM)","10 (6/6/24, 9:18 PM)","10 (6/6/24, 9:18 PM)","10","10","1"
"9.4.8 Manage IaaS Virtual Machines (VMs) in Azure That Run Windows Server","5 minutes 56 seconds","4 (6/6/24, 9:25 PM)","4 (6/6/24, 9:25 PM)","0 (6/6/24, 9:19 PM)","2","4","2"
"9.4.10 Practice Questions","3 minutes 44 seconds","10 (6/6/24, 9:30 PM)","10 (6/6/24, 9:30 PM)","9 (6/6/24, 9:28 PM)","9.5","10","2"
"9.5.4 Practice Questions","1 minute 13 seconds","10 (6/6/24, 9:34 PM)","10 (6/6/24, 9:34 PM)","10 (6/6/24, 9:34 PM)","10","10","1"
"9.6.4 Practice Questions","2 minutes 15 seconds","10 (6/6/24, 9:37 PM)","10 (6/6/24, 9:37 PM)","10 (6/6/24, 9:37 PM)","10","10","1"
"9.7.4 Assign Azure Policy Guest Configuration","4 minutes 28 seconds","2 (6/6/24, 9:42 PM)","2 (6/6/24, 9:42 PM)","0 (6/6/24, 9:37 PM)","1","2","2"
"9.7.5 Practice Questions","1 minute 26 seconds","10 (6/6/24, 9:44 PM)","10 (6/6/24, 9:44 PM)","10 (6/6/24, 9:44 PM)","10","10","1"
"10.1.8 Configure Volumes","5 minutes 16 seconds","2 (6/6/24, 11:45 PM)","2 (6/6/24, 11:45 PM)","0 (6/6/24, 11:40 PM)","1","2","2"
"10.1.9 Practice Questions","2 minutes 51 seconds","10 (6/6/24, 11:43 PM)","10 (6/6/24, 11:43 PM)","10 (6/6/24, 11:43 PM)","10","10","1"
"10.2.5 Configure and Manage Storage Spaces","4 minutes 54 seconds","4 (6/6/24, 11:51 PM)","4 (6/6/24, 11:51 PM)","0 (6/6/24, 11:46 PM)","2","4","2"
"10.2.6 Practice Questions","1 minute 57 seconds","10 (6/6/24, 11:47 PM)","10 (6/6/24, 11:47 PM)","10 (6/6/24, 11:47 PM)","10","10","1"
"10.3.5 Practice Questions","4 minutes 39 seconds","10 (6/6/24, 11:57 PM)","10 (6/6/24, 11:57 PM)","10 (6/6/24, 11:57 PM)","10","10","1"
"10.4.4 Practice Questions","2 minutes 59 seconds","10 (6/6/24, 11:54 PM)","10 (6/6/24, 11:54 PM)","10 (6/6/24, 11:54 PM)","10","10","1"
"10.5.6 Practice Questions","3 minutes 32 seconds","10 (6/6/24, 11:59 PM)","10 (6/6/24, 11:59 PM)","10 (6/6/24, 11:59 PM)","10","10","1"
"10.6.6 Configure NTFS Permissions","7 minutes 58 seconds","4 (6/7/24, 12:10 AM)","4 (6/7/24, 12:10 AM)","0 (6/7/24, 12:05 AM)","2","4","2"
"10.6.7 Remove Inherited Permissions","1 minute 13 seconds","6 (6/7/24, 12:11 AM)","6 (6/7/24, 12:11 AM)","6 (6/7/24, 12:11 AM)","6","6","1"
"10.6.8 Enable Quota Restrictions","3 minutes 51 seconds","5 (6/7/24, 12:16 AM)","5 (6/7/24, 12:16 AM)","0 (6/7/24, 12:14 AM)","2.5","5","2"
"10.6.9 Create a Quota Entry","2 minutes 11 seconds","3 (6/7/24, 12:19 AM)","3 (6/7/24, 12:19 AM)","0 (6/7/24, 12:17 AM)","1.5","3","2"
"10.6.10 Modify Quota Limits","1 minute 37 seconds","1 (6/7/24, 12:21 AM)","1 (6/7/24, 12:21 AM)","0 (6/7/24, 12:20 AM)","0.5","1","2"
"10.6.11 Practice Questions","6 minutes 14 seconds","10 (6/7/24, 12:05 AM)","10 (6/7/24, 12:05 AM)","8 (6/7/24, 12:03 AM)","9","10","2"
"10.7.4 Configure NTFS and Share Permissions","3 minutes 28 seconds","3 (6/7/24, 10:28 AM)","3 (6/7/24, 10:28 AM)","0 (6/7/24, 10:24 AM)","1.5","3","2"
"10.7.5 Practice Questions","10 minutes 20 seconds","10 (6/7/24, 12:20 AM)","10 (6/7/24, 12:20 AM)","9 (6/7/24, 12:14 AM)","9.5","10","2"
"11.1.6 Share a Folder with a Second Name","1 minute 22 seconds","2 (6/7/24, 12:26 AM)","2 (6/7/24, 12:26 AM)","0 (6/7/24, 12:25 AM)","1","2","2"
"11.1.7 Remove a Shared Folder","52 seconds","2 (6/7/24, 12:27 AM)","2 (6/7/24, 12:27 AM)","2 (6/7/24, 12:27 AM)","2","2","1"
"11.1.8 Enable Share Caching","1 minute 12 seconds","2 (6/7/24, 12:29 AM)","2 (6/7/24, 12:29 AM)","2 (6/7/24, 12:29 AM)","2","2","1"
"11.1.9 Disable Share Caching","1 minute 12 seconds","1 (6/7/24, 12:31 AM)","1 (6/7/24, 12:31 AM)","1 (6/7/24, 12:31 AM)","1","1","1"
"11.1.10 Configure Share Permissions","3 minutes 11 seconds","1 (6/7/24, 12:34 AM)","1 (6/7/24, 12:34 AM)","0 (6/7/24, 12:33 AM)","0.5","1","2"
"11.1.11 Practice Questions","11 minutes 14 seconds","10 (6/7/24, 12:36 AM)","10 (6/7/24, 12:36 AM)","10 (6/7/24, 12:36 AM)","10","10","1"
"11.2.6 Practice Questions","3 minutes 41 seconds","10 (6/7/24, 12:38 AM)","10 (6/7/24, 12:38 AM)","10 (6/7/24, 12:38 AM)","10","10","1"
"11.3.8 Practice Questions","1 minute 47 seconds","10 (6/7/24, 12:41 AM)","10 (6/7/24, 12:41 AM)","10 (6/7/24, 12:41 AM)","10","10","1"
"11.4.5 Add Role Services for DFS and Create a Namespace","6 minutes 3 seconds","4 (6/7/24, 12:51 AM)","4 (6/7/24, 12:51 AM)","0 (6/7/24, 12:42 AM)","2","4","2"
"11.4.6 Practice Questions","6 minutes 22 seconds","10 (6/7/24, 12:46 AM)","10 (6/7/24, 12:46 AM)","9 (6/7/24, 12:44 AM)","9.5","10","2"
"11.5.4 Create Azure File Sync Service","1 minute 23 seconds","4 (6/7/24, 12:55 AM)","4 (6/7/24, 12:55 AM)","4 (6/7/24, 12:55 AM)","4","4","1"
"11.5.5 Create an Azure Storage Account and a File Share","4 minutes 46 seconds","2 (6/7/24, 1:01 AM)","2 (6/7/24, 1:01 AM)","1 (6/7/24, 12:58 AM)","1.5","2","2"
"11.5.7 Create Sync Groups","2 minutes 29 seconds","3 (6/7/24, 1:04 AM)","3 (6/7/24, 1:04 AM)","0 (6/7/24, 1:03 AM)","1.5","3","2"
"11.5.10 Practice Questions","13 minutes 28 seconds","10 (6/7/24, 1:10 AM)","10 (6/7/24, 1:10 AM)","9 (6/7/24, 1:06 AM)","9.5","10","2"
"11.6.4 Create Server Endpoints","3 minutes 29 seconds","2 (6/7/24, 1:09 AM)","2 (6/7/24, 1:09 AM)","0 (6/7/24, 1:06 AM)","1","2","2"
"11.6.8 Practice Questions","2 minutes 33 seconds","10 (6/7/24, 1:12 AM)","10 (6/7/24, 1:12 AM)","10 (6/7/24, 1:12 AM)","10","10","1"
"12.1.10 Practice Questions","4 minutes 12 seconds","10 (6/7/24, 1:15 AM)","10 (6/7/24, 1:15 AM)","10 (6/7/24, 1:15 AM)","10","10","1"
"12.2.14 Create Virtual Machines","2 minutes 42 seconds","2 (6/7/24, 1:18 AM)","2 (6/7/24, 1:18 AM)","0 (6/7/24, 1:16 AM)","1","2","2"
"12.2.15 Practice Questions","5 minutes 39 seconds","10 (6/7/24, 1:21 AM)","10 (6/7/24, 1:21 AM)","10 (6/7/24, 1:21 AM)","10","10","1"
"12.3.8 Create Virtual Hard Disks","1 minute 35 seconds","2 (6/7/24, 1:23 AM)","2 (6/7/24, 1:23 AM)","2 (6/7/24, 1:23 AM)","2","2","1"
"12.3.9 Create a Parent Virtual Machine","2 minutes 9 seconds","3 (6/7/24, 1:25 AM)","3 (6/7/24, 1:25 AM)","3 (6/7/24, 1:25 AM)","3","3","1"
"12.3.10 Create Child Virtual Machines","5 minutes 18 seconds","6 (6/7/24, 1:31 AM)","6 (6/7/24, 1:31 AM)","6 (6/7/24, 1:31 AM)","6","6","1"
"12.3.11 Practice Questions","12 minutes 49 seconds","10 (6/7/24, 1:36 AM)","10 (6/7/24, 1:36 AM)","10 (6/7/24, 1:36 AM)","10","10","1"
"12.4.6 Create Virtual Switches","1 minute 2 seconds","2 (6/7/24, 1:37 AM)","2 (6/7/24, 1:37 AM)","2 (6/7/24, 1:37 AM)","2","2","1"
"12.4.7 Prepare a Production Virtual Machine","7 minutes 46 seconds","5 (6/7/24, 1:46 AM)","5 (6/7/24, 1:46 AM)","3 (6/7/24, 1:42 AM)","4","5","2"
"12.4.8 Practice Questions","19 minutes 6 seconds","10 (6/7/24, 1:57 AM)","10 (6/7/24, 1:57 AM)","10 (6/7/24, 1:57 AM)","10","10","1"
"12.5.6 Practice Questions","4 minutes 59 seconds","10 (6/7/24, 1:54 AM)","10 (6/7/24, 1:54 AM)","9 (6/7/24, 1:51 AM)","9.5","10","2"
"12.6.8 Practice Questions","4 minutes 26 seconds","10 (6/7/24, 1:59 AM)","10 (6/7/24, 1:59 AM)","10 (6/7/24, 1:59 AM)","10","10","1"
"12.7.5 Create and Mount a VHD","10 minutes 18 seconds","2 (6/7/24, 2:16 AM)","2 (6/7/24, 2:16 AM)","0 (6/7/24, 2:02 AM)","1","2","3"
"12.7.6 Practice Questions","9 minutes 40 seconds","10 (6/7/24, 2:12 AM)","10 (6/7/24, 2:12 AM)","9 (6/7/24, 2:09 AM)","9.5","10","2"
"12.8.5 Practice Questions","2 minutes 47 seconds","10 (6/7/24, 2:17 AM)","10 (6/7/24, 2:17 AM)","10 (6/7/24, 2:17 AM)","10","10","1"
"12.9.5 Practice Questions","5 minutes 13 seconds","10 (6/7/24, 2:23 AM)","10 (6/7/24, 2:23 AM)","9 (6/7/24, 2:21 AM)","9.5","10","2"
"12.10.8 Configure Connections to VMs","1 minute 12 seconds","2 (6/7/24, 2:28 AM)","2 (6/7/24, 2:28 AM)","0 (6/7/24, 2:26 AM)","1","2","2"
"12.10.12 Practice Questions","8 minutes 39 seconds","10 (6/7/24, 2:27 AM)","10 (6/7/24, 2:27 AM)","9 (6/7/24, 2:25 AM)","9.5","10","2"
"12.11.8 Practice Questions","3 minutes 45 seconds","10 (6/7/24, 2:32 AM)","10 (6/7/24, 2:32 AM)","10 (6/7/24, 2:32 AM)","10","10","1"
"13.1.4 Add the Routing and Remote Access Role","2 minutes 29 seconds","2 (6/7/24, 9:23 AM)","2 (6/7/24, 9:23 AM)","0 (6/7/24, 9:20 AM)","1","2","2"
"13.1.5 Practice Questions","1 minute 33 seconds","10 (6/7/24, 8:02 AM)","10 (6/7/24, 8:02 AM)","10 (6/7/24, 8:02 AM)","10","10","1"
"13.2.4 Practice Questions","4 minutes 14 seconds","10 (6/7/24, 8:04 AM)","10 (6/7/24, 8:04 AM)","10 (6/7/24, 8:04 AM)","10","10","1"
"13.3.12 Configure a RADIUS Solution","10 minutes 8 seconds","5 (6/7/24, 9:33 AM)","5 (6/7/24, 9:33 AM)","0 (6/7/24, 9:21 AM)","2.5","5","2"
"13.3.13 Practice Questions","5 minutes 40 seconds","10 (6/7/24, 9:07 AM)","10 (6/7/24, 9:07 AM)","7 (6/7/24, 8:07 AM)","8.5","10","2"
"13.4.7 Practice Questions","5 minutes 24 seconds","10 (6/7/24, 9:13 AM)","10 (6/7/24, 9:13 AM)","10 (6/7/24, 9:13 AM)","10","10","1"
"13.5.12 Configure a VPN Server","3 minutes 35 seconds","4 (6/7/24, 9:37 AM)","4 (6/7/24, 9:37 AM)","0 (6/7/24, 9:33 AM)","2","4","2"
"13.5.14 Practice Questions","2 minutes 41 seconds","10 (6/7/24, 9:16 AM)","10 (6/7/24, 9:16 AM)","10 (6/7/24, 9:16 AM)","10","10","1"
"13.6.4 Practice Questions","1 minute 2 seconds","10 (6/7/24, 9:17 AM)","10 (6/7/24, 9:17 AM)","10 (6/7/24, 9:17 AM)","10","10","1"
"13.7.3 Practice Questions","1 minute 8 seconds","10 (6/7/24, 9:19 AM)","10 (6/7/24, 9:19 AM)","10 (6/7/24, 9:19 AM)","10","10","1"
"A.2.1 Pro Domain 1: Active Directory Domain Services","1 hour 45 minutes 27 seconds","32.8 (6/6/24, 11:31 PM)","32.8 (6/6/24, 11:31 PM)","32.8 (6/6/24, 11:31 PM)","32.8","34","1"
"A.2.2 Pro Domain 2: Windows Server File and Storage Services","1 hour 2 minutes 56 seconds","20.5 (6/7/24, 10:43 AM)","20.5 (6/7/24, 10:43 AM)","20.5 (6/7/24, 10:43 AM)","20.5","21","1"
"A.2.3 Pro Domain 3: Virtualization","33 minutes 16 seconds","8 (6/7/24, 5:00 PM)","8 (6/7/24, 5:00 PM)","8 (6/7/24, 5:00 PM)","8","9","1"
"A.2.4 Pro Domain 4: Networking Services","4 hours 27 minutes 53 seconds","36 (6/8/24, 12:37 AM)","36 (6/8/24, 12:37 AM)","36 (6/8/24, 12:37 AM)","36","37","1"
"A.3 TestOut Hybrid Server Pro: Core Certification Practice Exam","38 minutes 36 seconds","13.8 (6/8/24, 7:39 PM)","13.8 (6/8/24, 7:39 PM)","13.8 (6/8/24, 7:39 PM)","13.8","14","1"
"B.2.1 AZ-800 Domain 1: Deploy and Manage Active Directory Domain Services (AD DS) in On-Premises and Cloud Environments","","","","","","","0"
"B.2.2 AZ-800 Domain 2: Manage Windows Servers and Workloads in a Hybrid Environment","","","","","","","0"
"B.2.3 AZ-800 Domain 3: Manage Virtual Machines and Containers","","","","","","","0"
"B.2.4 AZ-800 Domain 4: Implement and Manage an On-Premises and Hybrid Networking Infrastructure","","","","","","","0"
"B.2.5 AZ-800 Domain 5: Manage Storage and File Services","","","","","","","0"
"B.3.1 AZ-800 Domain 1: Deploy and Manage Active Directory Domain Services (AD DS) in On-Premises and Cloud Environments","","","","","","","0"
"B.3.2 AZ-800 Domain 2: Manage Windows Servers and Workloads in a Hybrid Environment","","","","","","","0"
"B.3.3 AZ-800 Domain 3: Manage Virtual Machines and Containers","","","","","","","0"
"B.3.4 AZ-800 Domain 4: Implement and Manage an On-Premises and Hybrid Networking Infrastructure","","","","","","","0"
"B.3.5 AZ-800 Domain 5: Manage Storage and File Services","","","","","","","0"
"B.4 Microsoft AZ-800 Certification Practice Exam","","","","","","","0"